Tool;Data;noKey;shortKey;longKey
f5;longEbd;0.894667;0.894609;0.89462
f5;lowEntropyEbd;0.894532;0.894564;0.894652
f5;middleEbd;0.896286;0.896244;0.89632
f5;shortEbd;0.896637;0.896632;0.896641
jsteg;binaryEbd;0.869092;;
jsteg;longEbd;0.869648;;
jsteg;lowEntropyEbd;0.869369;;
jsteg;middleEbd;0.879577;;
jsteg;shortEbd;0.890028;;
original;original;0.891867
outguess;middleEbd;0.901876;0.901924;0.901845
outguess;shortEbd;0.891396;0.891376;0.891343
outguess-0.13;middleEbd;0.903692;0.903728;0.903734
outguess-0.13;shortEbd;0.891969;0.891964;0.892013
steghide;binaryEbd;;0.896551;0.896551
steghide;longEbd;;0.896562;0.892331
steghide;lowEntropyEbd;;0.896555;0.892281
steghide;middleEbd;;0.896551;0.892366
steghide;shortEbd;;0.896547;0.891867

