Tool;Data;noKey;shortKey;longKey
f5;longEbd;0.92272;0.92297;0.922573
f5;lowEntropyEbd;0.922705;0.922803;0.92272
f5;middleEbd;0.92449;0.924437;0.924248
f5;shortEbd;0.92446;0.924462;0.924535
jsteg;binaryEbd;0.918505;;
jsteg;longEbd;0.918661;;
jsteg;lowEntropyEbd;0.918565;;
jsteg;middleEbd;0.918667;;
jsteg;shortEbd;0.918124;;
original;original;0.918
outguess;binaryEbd;0.92903;0.929039;0.929047
outguess;longEbd;0.929061;0.929068;0.929067
outguess;lowEntropyEbd;0.929031;0.929032;0.929055
outguess;middleEbd;0.917837;0.917862;0.917867
outguess;shortEbd;0.917606;0.9176;0.917617
outguess-0.13;binaryEbd;0.926124;0.926107;0.926112
outguess-0.13;longEbd;0.927589;0.927571;0.927589
outguess-0.13;lowEntropyEbd;0.926107;0.926107;0.926112
outguess-0.13;middleEbd;0.923118;0.923129;0.923124
outguess-0.13;shortEbd;0.919176;0.919171;0.919171
steghide;binaryEbd;;0.922043;0.922038
steghide;longEbd;;0.922022;0.918043
steghide;lowEntropyEbd;;0.922022;0.918011
steghide;middleEbd;;0.922016;0.918021
steghide;shortEbd;;0.922016;0.918011

